policy_number,customer_mobile,customer_id,customer_name,age,gender,marital_status,Residency,ncd,coverage_type,policy_start_date,policy_end_date,premium_date,deductible_amount,payment_frequency,policy_addon,vehicle_make_model,vehicle_year,vehicle_value,vehicle_primary_usage,vehicle_registered_area,total_claim_filed,last_claim_date,claim_type,claim_cost,claim_status
GIVA-MTR-839201,98561234,98561234,Ayman Al Balushi,33,Male,Single,Muscat,45%,Comprehensive Platinum,2024-10-01,2025-09-30,165.03,50,Quarterly,Agency Repair,Honda Accord,2024,20623.11,Commuting,Muscat,2,2025-04-07,Minor fender-bender (At Fault),346.08,Fully covered
GIVA-MTR-839202,98561234,98561234,Rihana Al Balushi,29,Female,Married,Muscat,35%,Comprehensive Gold,2024-10-01,2025-09-30,255.38,75,Quarterly,Agency Repair,Hyundai Tucson,2024,24340.17,Business,Muscat,2,2025-02-07,Windshield damage,1037.87,Fully covered
GIVA-MTR-839203,98765432,98765432,Salim Al Rawahi,55,Male,Married,Seeb,25%,Third Party Plus,2024-10-01,2025-09-30,261.34,75,Quarterly,"Off-road Cover, UAE Assistance",Hyundai Tucson,2024,6827.46,Business,Bausher,2,2025-07-05,Rear-end collision,241.69,Fully covered
GIVA-MTR-839204,98765433,98765433,Maha Al Hinai,43,Male,Single,Salalah,50%,Third Party Plus,2026-01-14,2027-01-14,286.72,75,Annual,"Off-road Cover, UAE Assistance",Mazda CX-5,2020,16329.37,Commuting,Al Ghubrah,1,2025-01-28,Parking scratch,615.54,Fully covered
GIVA-MTR-839205,98765434,98765434,Khalid Al-Maamari,46,Female,Single,Sohar,35%,Comprehensive Gold,2026-01-25,2027-09-25,332.43,75,Annual,Agency Repair,Toyota Corolla,2025,24021.86,Business,Bausher,1,2025-01-04,Windshield damage,273.7,Fully covered
GIVA-MTR-839206,98765435,98765435,Aisha Al-Busaidi,45,Female,Single,Salalah,20%,Third Party Plus,2026-01-14,2028-01-14,235.33,75,Quarterly,Agency Repair,Toyota Land Cruiser,2023,18245.73,Personal,Bausher,1,2025-07-14,Parking scratch,970.35,Fully covered
GIVA-MTR-839207,98765436,98765436,Yousuf Al-Kindi,47,Female,Single,Nizwa,50%,Comprehensive Gold,2026-01-18,2027-01-18,239.33,50,Quarterly,Windshield Cover,Toyota Corolla,2024,19557.25,Business,Al Ghubrah,0,,No Claims,0,N/A
GIVA-MTR-839208,98765437,98765437,Maryam Al-Riyami,27,Female,Single,Nizwa,20%,Third Party Plus,2026-01-01,2029-01-01,298.4,100,Annual,"Agency Repair, Roadside Assistance",Mitsubishi Pajero Sport,2022,22748.16,Commuting,Mabela,1,2025-05-16,Minor fender-bender (At Fault),599.89,Fully covered
GIVA-MTR-839209,98765438,98765438,Saeed Al-Lawati,31,Female,Single,Nizwa,25%,Comprehensive Gold,2026-01-31,2025-09-31,198.64,50,Annual,"Off-road Cover, UAE Assistance",Mazda CX-5,2022,22425.83,Commuting,Qurum,3,2025-08-13,Parking scratch,137.34,Fully covered
GIVA-MTR-839210,98765439,98765439,Noura Al-Sinani,33,Female,Married,Nizwa,20%,Comprehensive Gold,2026-01-15,2027-01-15,341.48,75,Quarterly,"Agency Repair, Roadside Assistance",Nissan Patrol,2021,13073.77,Business,Seeb,1,2025-01-05,Windshield damage,362.97,Fully covered
GIVA-MTR-839211,98765440,98765440,Hamad Al-Habsi,56,Male,Married,Seeb,0%,Comprehensive Gold,2026-01-25,2027-09-25,179.1,50,Annual,Windshield Cover,Nissan Patrol,2020,19791.98,Commuting,Bausher,0,,No Claims,0,N/A
GIVA-MTR-839212,98765441,98765441,Amal Al-Ghafri,31,Female,Single,Nizwa,45%,Comprehensive Gold,2026-01-14,2028-01-14,158.65,100,Quarterly,"Agency Repair, Roadside Assistance",Kia Sportage,2024,9637.74,Personal,Qurum,2,2025-06-05,Windshield damage,1130.96,Fully covered
GIVA-MTR-839213,98765442,98765442,Amanulla Khan,29,Male,Married,Muscat,50%,Third Party Plus,2026-01-18,2027-01-18,178.5,75,Annual,Windshield Cover,Jeep Rubicon,2020,18715.19,Commuting,Muscat,0,,No Claims,0,N/A
GIVA-MTR-839214,98765443,98765443,Sara Al-Maqbali,56,Male,Married,Seeb,0%,Comprehensive Platinum,2026-01-01,2029-01-01,268.37,75,Annual,"Agency Repair, Roadside Assistance",Hyundai Tucson,2025,18146.02,Personal,Seeb,1,2025-09-15,Rear-end collision,228.44,Fully covered
GIVA-MTR-839215,98765444,98765444,Mohammed Al-Harthi,34,Male,Single,Muscat,50%,Comprehensive Platinum,2026-01-32,2025-09-32,258.8,75,Quarterly,"Off-road Cover, UAE Assistance",Toyota Corolla,2024,19243.47,Business,Bausher,2,2025-05-07,Rear-end collision,1024.38,Fully covered
GIVA-MTR-839216,98765445,98765445,Layla Al-Shukaili,43,Female,Single,Seeb,50%,Comprehensive Platinum,2026-01-16,2027-01-16,238.97,50,Quarterly,Windshield Cover,Hyundai Tucson,2022,23193.77,Commuting,Al Ghubrah,2,2025-09-07,Minor fender-bender (At Fault),742.27,Fully covered
GIVA-MTR-839217,98765446,98765446,Talal Al-Rashdi,37,Male,Married,Nizwa,50%,Third Party Plus,2026-01-25,2027-09-25,320.76,100,Annual,Agency Repair,Hyundai Tucson,2020,8757.38,Personal,Al Khuwayr South,3,2025-11-23,Minor fender-bender (At Fault),135.19,Fully covered
GIVA-MTR-839218,98765447,98765447,Noor Al-Balushi,46,Male,Single,Sohar,35%,Comprehensive Platinum,2026-01-14,2028-01-14,332.56,50,Annual,"Agency Repair, Roadside Assistance",Toyota Land Cruiser,2024,12533.11,Personal,Seeb,0,,No Claims,0,N/A
GIVA-MTR-839219,98765448,98765448,Faisal Al-Mandhari,28,Female,Single,Sohar,45%,Third Party Plus,2026-01-18,2027-01-18,348.84,75,Annual,"Off-road Cover, UAE Assistance",MG RX8,2023,20169.62,Business,Mabela,1,2025-10-18,Rear-end collision,1176.73,Fully covered
GIVA-MTR-839220,98765449,98765449,Huda Al-Yahyai,38,Male,Married,Seeb,0%,Comprehensive Gold,2026-01-01,2029-01-01,293.83,75,Quarterly,"Agency Repair, Roadside Assistance",Mitsubishi Pajero Sport,2021,10717.39,Commuting,Bausher,1,2025-06-07,Windshield damage,941.53,Fully covered
